trait	ch
bacillus_yes_yes	A
bacillus_yes_no	B
bacillus_no_yes	C
bacillus_no_no	D
coccus_yes_yes	E
coccus_yes_no	F
coccus_no_yes	G
coccus_no_no	H
coccobacillus_yes_yes	I
coccobacillus_yes_no	J
coccobacillus_no_yes	K
coccobacillus_no_no	L
filament_yes_yes	M
filament_yes_no	N
filament_no_yes	O
filament_no_no	P
vibrio_yes_yes	Q
vibrio_yes_no	R
vibrio_no_yes	S
vibrio_no_no	T
spiral_yes_yes	U
spiral_yes_no	V
spiral_no_yes	W
spiral_no_no	X
ring_yes_yes	Y
square_yes_no	Z
spindle_no_no	1
pleomorphic_yes_no	2
pleomorphic_no_no	3
star_yes_no	4
branced_no_no	5
disc_no_no	6
fusiform_no_no	7
irregular_no_no	8
